"행정구역","2022년10월_총인구수","2022년10월_세대수","2022년10월_세대당 인구","2022년10월_남자 인구수","2022년10월_여자 인구수","2022년10월_남여 비율"
"서울특별시 성동구 성수1가제1동(1120065000)","16,146","7,662","          2.11","8,010","8,136","          0.98"
"서울특별시 성동구 성수1가제2동(1120066000)","12,144","5,947","          2.04","5,960","6,184","          0.96"
"서울특별시 성동구 성수2가제1동(1120067000)","15,336","7,967","          1.92","7,991","7,345","          1.09"
"서울특별시 성동구 성수2가제3동(1120069000)","10,452","5,425","          1.93","5,221","5,231","          1.00"
"서울특별시 성동구 송정동(1120072000)","10,154","5,479","          1.85","5,359","4,795","          1.12"
"서울특별시 성동구 용답동(1120079000)","11,572","7,248","          1.60","5,990","5,582","          1.07"
"서울특별시 광진구 (1121500000)","337,900","169,382","          1.99","162,844","175,056","          0.93"
"서울특별시 광진구 화양동(1121571000)","23,620","18,343","          1.29","11,222","12,398","          0.91"
"서울특별시 광진구 군자동(1121573000)","19,440","11,389","          1.71","9,626","9,814","          0.98"
"서울특별시 광진구 중곡제1동(1121574000)","15,268","8,413","          1.81","7,340","7,928","          0.93"
"서울특별시 광진구 중곡제2동(1121575000)","21,020","10,642","          1.98","9,916","11,104","          0.89"
"서울특별시 광진구 중곡제3동(1121576000)","15,939","8,488","          1.88","7,884","8,055","          0.98"
"서울특별시 광진구 중곡제4동(1121577000)","28,063","13,102","          2.14","13,733","14,330","          0.96"
"서울특별시 광진구 능동(1121578000)","11,215","6,455","          1.74","5,155","6,060","          0.85"
"서울특별시 광진구 광장동(1121581000)","34,270","11,856","          2.89","16,569","17,701","          0.94"
"서울특별시 광진구 자양제1동(1121582000)","21,925","11,925","          1.84","10,643","11,282","          0.94"
"서울특별시 광진구 자양제2동(1121583000)","23,909","10,865","          2.20","11,585","12,324","          0.94"
"서울특별시 광진구 자양제3동(1121584000)","27,586","11,015","          2.50","13,185","14,401","          0.92"
"서울특별시 광진구 자양제4동(1121584700)","17,891","10,145","          1.76","8,937","8,954","          1.00"
