"행정구역","2022년10월_총인구수","2022년10월_세대수","2022년10월_세대당 인구","2022년10월_남자 인구수","2022년10월_여자 인구수","2022년10월_남여 비율"
"부산광역시 남구 감만제2동(2629063000)","6,733","3,350","          2.01","3,295","3,438","          0.96"
"부산광역시 남구 우암동(2629064500)","12,767","5,840","          2.19","6,267","6,500","          0.96"
"부산광역시 남구 문현제1동(2629068000)","13,016","5,726","          2.27","6,358","6,658","          0.95"
"부산광역시 남구 문현제2동(2629069000)","8,324","5,062","          1.64","4,125","4,199","          0.98"
"부산광역시 남구 문현제3동(2629070000)","16,577","7,077","          2.34","8,053","8,524","          0.94"
"부산광역시 남구 문현제4동(2629071000)","7,866","3,836","          2.05","3,818","4,048","          0.94"
"부산광역시 북구 (2632000000)","279,770","123,831","          2.26","137,808","141,962","          0.97"
"부산광역시 북구 구포제1동(2632051000)","16,089","8,258","          1.95","8,055","8,034","          1.00"
"부산광역시 북구 구포제2동(2632052000)","24,699","11,753","          2.10","12,598","12,101","          1.04"
"부산광역시 북구 구포제3동(2632052100)","19,149","9,213","          2.08","9,859","9,290","          1.06"
"부산광역시 북구 금곡동(2632053000)","36,934","17,927","          2.06","17,838","19,096","          0.93"
"부산광역시 북구 화명제1동(2632054100)","40,642","14,350","          2.83","19,858","20,784","          0.96"
"부산광역시 북구 화명제2동(2632054200)","17,481","7,262","          2.41","8,522","8,959","          0.95"
"부산광역시 북구 화명제3동(2632054300)","29,116","10,775","          2.70","14,211","14,905","          0.95"
"부산광역시 북구 덕천제1동(2632055000)","11,587","6,374","          1.82","5,698","5,889","          0.97"
"부산광역시 북구 덕천제2동(2632056000)","11,620","6,580","          1.77","5,770","5,850","          0.99"
"부산광역시 북구 덕천제3동(2632056100)","10,496","5,581","          1.88","5,112","5,384","          0.95"
"부산광역시 북구 만덕제1동(2632057100)","16,617","7,167","          2.32","8,131","8,486","          0.96"
"부산광역시 북구 만덕제2동(2632057200)","27,056","11,166","          2.42","13,265","13,791","          0.96"
"부산광역시 북구 만덕제3동(2632057300)","18,284","7,425","          2.46","8,891","9,393","          0.95"
"부산광역시 해운대구 (2635000000)","387,840","170,828","          2.27","186,088","201,752","          0.92"
"부산광역시 해운대구 우제1동(2635051000)","21,579","10,587","          2.04","10,219","11,360","          0.90"
"부산광역시 해운대구 우제2동(2635052000)","30,396","11,912","          2.55","14,444","15,952","          0.91"
"부산광역시 해운대구 우제3동(2635052500)","28,424","10,915","          2.60","13,434","14,990","          0.90"
"부산광역시 해운대구 중제1동(2635053000)","27,614","12,349","          2.24","13,230","14,384","          0.92"
"부산광역시 해운대구 중제2동(2635054000)","15,613","7,412","          2.11","7,441","8,172","          0.91"
"부산광역시 해운대구 좌제1동(2635055100)","17,664","7,742","          2.28","8,221","9,443","          0.87"
"부산광역시 해운대구 좌제2동(2635055200)","31,381","14,166","          2.22","14,475","16,906","          0.86"
"부산광역시 해운대구 좌제3동(2635055300)","15,718","6,409","          2.45","7,381","8,337","          0.89"
"부산광역시 해운대구 좌제4동(2635055400)","22,719","8,573","          2.65","10,764","11,955","          0.90"
"부산광역시 해운대구 송정동(2635056000)","9,649","5,021","          1.92","4,640","5,009","          0.93"
"부산광역시 해운대구 반여제1동(2635057000)","34,528","13,256","          2.60","16,981","17,547","          0.97"
"부산광역시 해운대구 반여제2동(2635058000)","12,231","6,726","          1.82","5,922","6,309","          0.94"
"부산광역시 해운대구 반여제3동(2635059000)","8,261","4,567","          1.81","4,061","4,200","          0.97"
"부산광역시 해운대구 반여제4동(2635059500)","15,337","5,807","          2.64","7,546","7,791","          0.97"
"부산광역시 해운대구 반송제1동(2635061000)","13,269","7,721","          1.72","6,629","6,640","          1.00"
"부산광역시 해운대구 반송제2동(2635062000)","22,495","11,834","          1.90","10,914","11,581","          0.94"
"부산광역시 해운대구 재송제1동(2635065000)","37,233","14,627","          2.55","18,252","18,981","          0.96"
"부산광역시 해운대구 재송제2동(2635066000)","23,729","11,204","          2.12","11,534","12,195","          0.95"
"부산광역시 사하구 (2638000000)","302,844","140,904","          2.15","150,467","152,377","          0.99"
"부산광역시 사하구 괴정제1동(2638051000)","18,897","8,627","          2.19","9,043","9,854","          0.92"
"부산광역시 사하구 괴정제2동(2638052000)","15,520","7,016","          2.21","7,534","7,986","          0.94"
"부산광역시 사하구 괴정제3동(2638053000)","12,090","6,363","          1.90","5,770","6,320","          0.91"
"부산광역시 사하구 괴정제4동(2638054000)","11,912","5,464","          2.18","5,797","6,115","          0.95"
"부산광역시 사하구 당리동(2638055000)","25,799","11,346","          2.27","12,590","13,209","          0.95"
"부산광역시 사하구 하단제1동(2638056100)","21,474","10,681","          2.01","10,729","10,745","          1.00"
"부산광역시 사하구 하단제2동(2638056200)","25,332","13,271","          1.91","12,723","12,609","          1.01"
"부산광역시 사하구 신평제1동(2638057100)","16,396","8,152","          2.01","8,449","7,947","          1.06"
"부산광역시 사하구 신평제2동(2638057200)","17,601","7,615","          2.31","8,794","8,807","          1.00"
"부산광역시 사하구 장림제1동(2638058000)","10,516","4,941","          2.13","5,437","5,079","          1.07"
"부산광역시 사하구 장림제2동(2638059000)","26,770","11,865","          2.26","13,596","13,174","          1.03"
"부산광역시 사하구 다대제1동(2638060100)","37,759","16,890","          2.24","18,862","18,897","          1.00"
"부산광역시 사하구 다대제2동(2638060200)","26,415","12,058","          2.19","12,954","13,461","          0.96"
"부산광역시 사하구 구평동(2638061000)","12,803","5,200","          2.46","6,523","6,280","          1.04"
"부산광역시 사하구 감천제1동(2638062000)","17,900","8,162","          2.19","8,788","9,112","          0.96"
"부산광역시 사하구 감천제2동(2638063000)","5,660","3,253","          1.74","2,878","2,782","          1.03"
"부산광역시 금정구 (2641000000)","222,264","107,403","          2.07","108,623","113,641","          0.96"
"부산광역시 금정구 서제1동(2641051000)","5,013","3,043","          1.65","2,609","2,404","          1.09"
"부산광역시 금정구 서제2동(2641052000)","8,917","4,862","          1.83","4,455","4,462","          1.00"
"부산광역시 금정구 서제3동(2641053000)","10,866","5,873","          1.85","5,435","5,431","          1.00"
"부산광역시 금정구 금사회동동(2641055500)","7,599","4,126","          1.84","3,989","3,610","          1.10"
"부산광역시 금정구 부곡제1동(2641057000)","8,043","4,421","          1.82","3,878","4,165","          0.93"
"부산광역시 금정구 부곡제2동(2641058000)","17,618","7,927","          2.22","8,370","9,248","          0.91"
"부산광역시 금정구 부곡제3동(2641059000)","15,412","6,841","          2.25","7,375","8,037","          0.92"
"부산광역시 금정구 부곡제4동(2641059100)","12,407","6,051","          2.05","5,969","6,438","          0.93"
"부산광역시 금정구 장전제1동(2641060000)","18,088","11,182","          1.62","9,434","8,654","          1.09"
"부산광역시 금정구 장전제2동(2641061000)","26,172","11,602","          2.26","12,645","13,527","          0.93"
"부산광역시 금정구 선두구동(2641063500)","2,246","1,250","          1.80","1,194","1,052","          1.13"
"부산광역시 금정구 청룡노포동(2641066500)","9,742","4,470","          2.18","4,761","4,981","          0.96"
"부산광역시 금정구 남산동(2641067000)","27,724","13,994","          1.98","13,503","14,221","          0.95"
"부산광역시 금정구 구서제1동(2641068000)","19,287","8,020","          2.40","9,147","10,140","          0.90"
"부산광역시 금정구 구서제2동(2641069000)","32,130","13,273","          2.42","15,373","16,757","          0.92"
"부산광역시 금정구 금성동(2641070000)","1,000","468","          2.14","486","514","          0.95"
"부산광역시 강서구 (2644000000)","143,611","62,601","          2.29","74,470","69,141","          1.08"
"부산광역시 강서구 대저1동(2644051000)","6,262","3,635","          1.72","3,450","2,812","          1.23"
"부산광역시 강서구 대저2동(2644052000)","6,997","3,719","          1.88","3,929","3,068","          1.28"
"부산광역시 강서구 강동동(2644053000)","4,108","2,514","          1.63","2,189","1,919","          1.14"
"부산광역시 강서구 명지1동(2644053500)","53,654","21,113","          2.54","26,963","26,691","          1.01"
"부산광역시 강서구 명지2동(2644054500)","30,265","10,371","          2.92","15,122","15,143","          1.00"
"부산광역시 강서구 가락동(2644055000)","2,270","1,324","          1.71","1,215","1,055","          1.15"
"부산광역시 강서구 녹산동(2644056000)","35,965","17,354","          2.07","19,441","16,524","          1.18"
"부산광역시 강서구 가덕도동(2644058000)","4,090","2,571","          1.59","2,161","1,929","          1.12"
"부산광역시 연제구 (2647000000)","204,377","93,706","          2.18","98,070","106,307","          0.92"
"부산광역시 연제구 거제제1동(2647061000)","28,533","11,267","          2.53","13,742","14,791","          0.93"
"부산광역시 연제구 거제제2동(2647062000)","11,784","4,424","          2.66","5,589","6,195","          0.90"
"부산광역시 연제구 거제제3동(2647063000)","9,779","4,678","          2.09","4,619","5,160","          0.90"
"부산광역시 연제구 거제제4동(2647064000)","10,091","4,085","          2.47","4,919","5,172","          0.95"
"부산광역시 연제구 연산제1동(2647065000)","16,595","7,195","          2.31","8,087","8,508","          0.95"
"부산광역시 연제구 연산제2동(2647066000)","19,947","8,991","          2.22","9,537","10,410","          0.92"
"부산광역시 연제구 연산제3동(2647067000)","10,925","5,277","          2.07","5,279","5,646","          0.93"
"부산광역시 연제구 연산제4동(2647068000)","15,853","8,594","          1.84","7,614","8,239","          0.92"
"부산광역시 연제구 연산제5동(2647069000)","16,448","10,319","          1.59","7,810","8,638","          0.90"
"부산광역시 연제구 연산제6동(2647070000)","16,378","8,167","          2.01","7,853","8,525","          0.92"
"부산광역시 연제구 연산제8동(2647072000)","13,772","6,127","          2.25","6,718","7,054","          0.95"
"부산광역시 연제구 연산제9동(2647073000)","34,272","14,582","          2.35","16,303","17,969","          0.91"
"부산광역시 수영구 (2650000000)","174,694","87,311","          2.00","82,180","92,514","          0.89"
"부산광역시 수영구 남천제1동(2650066000)","14,771","6,778","          2.18","6,803","7,968","          0.85"
"부산광역시 수영구 남천제2동(2650067000)","11,829","4,846","          2.44","5,512","6,317","          0.87"
"부산광역시 수영구 수영동(2650073000)","14,369","7,812","          1.84","6,866","7,503","          0.92"
"부산광역시 수영구 망미제1동(2650074000)","27,108","12,454","          2.18","12,886","14,222","          0.91"
"부산광역시 수영구 망미제2동(2650075000)","10,423","4,899","          2.13","5,121","5,302","          0.97"
"부산광역시 수영구 광안제1동(2650076000)","25,778","14,587","          1.77","11,962","13,816","          0.87"
"부산광역시 수영구 광안제2동(2650077000)","18,854","9,992","          1.89","8,745","10,109","          0.87"
"부산광역시 수영구 광안제3동(2650078000)","9,620","6,167","          1.56","4,517","5,103","          0.89"
"부산광역시 수영구 광안제4동(2650079000)","13,623","6,352","          2.14","6,158","7,465","          0.82"
"부산광역시 수영구 민락동(2650080000)","28,319","13,424","          2.11","13,610","14,709","          0.93"
"부산광역시 사상구 (2653000000)","203,331","98,135","          2.07","102,331","101,000","          1.01"
"부산광역시 사상구 삼락동(2653058000)","5,625","3,085","          1.82","2,991","2,634","          1.14"
"부산광역시 사상구 모라제1동(2653059100)","27,505","12,485","          2.20","13,714","13,791","          0.99"
"부산광역시 사상구 모라제3동(2653059300)","9,879","6,489","          1.52","4,677","5,202","          0.90"
"부산광역시 사상구 덕포제1동(2653060000)","8,468","4,213","          2.01","4,296","4,172","          1.03"
"부산광역시 사상구 덕포제2동(2653061000)","12,674","5,774","          2.20","6,402","6,272","          1.02"
"부산광역시 사상구 괘법동(2653062000)","22,801","13,432","          1.70","11,806","10,995","          1.07"
"부산광역시 사상구 감전동(2653064500)","12,931","7,137","          1.81","6,845","6,086","          1.12"
"부산광역시 사상구 주례제1동(2653065000)","14,794","6,377","          2.32","7,538","7,256","          1.04"
"부산광역시 사상구 주례제2동(2653066000)","22,448","11,221","          2.00","11,240","11,208","          1.00"
"부산광역시 사상구 주례제3동(2653066100)","12,879","5,699","          2.26","6,254","6,625","          0.94"
"부산광역시 사상구 학장동(2653067000)","27,654","12,141","          2.28","13,748","13,906","          0.99"
"부산광역시 사상구 엄궁동(2653068000)","25,673","10,082","          2.55","12,820","12,853","          1.00"
"부산광역시 기장군 (2671000000)","178,303","78,528","          2.27","88,262","90,041","          0.98"
"부산광역시 기장군 기장읍(2671025000)","53,072","26,176","          2.03","25,835","27,237","          0.95"
"부산광역시 기장군 장안읍(2671025300)","8,427","4,728","          1.78","4,558","3,869","          1.18"
"부산광역시 기장군 정관읍(2671025600)","81,099","32,027","          2.53","40,122","40,977","          0.98"
"부산광역시 기장군 일광읍(2671025900)","27,955","11,724","          2.38","13,809","14,146","          0.98"
"부산광역시 기장군 철마면(2671033000)","7,750","3,873","          2.00","3,938","3,812","          1.03"
"대구광역시  (2700000000)","2,366,852","1,070,874","          2.21","1,164,728","1,202,124","          0.97"
"대구광역시 중구 (2711000000)","79,241","40,414","          1.96","38,004","41,237","          0.92"
"대구광역시 중구 동인동(2711051700)","7,662","4,677","          1.64","3,828","3,834","          1.00"
"대구광역시 중구 삼덕동(2711054500)","6,439","4,112","          1.57","3,052","3,387","          0.90"
"대구광역시 중구 성내1동(2711056500)","4,834","3,421","          1.41","2,302","2,532","          0.91"
"대구광역시 중구 성내2동(2711057500)","4,325","2,840","          1.52","2,174","2,151","          1.01"
"대구광역시 중구 성내3동(2711058500)","4,800","2,292","          2.09","2,404","2,396","          1.00"
"대구광역시 중구 대신동(2711059500)","7,574","3,242","          2.34","3,687","3,887","          0.95"
"대구광역시 중구 남산1동(2711064000)","4,507","2,590","          1.74","2,170","2,337","          0.93"
"대구광역시 중구 남산2동(2711065000)","6,549","2,995","          2.19","3,102","3,447","          0.90"
"대구광역시 중구 남산3동(2711066000)","6,483","2,866","          2.26","3,002","3,481","          0.86"
"대구광역시 중구 남산4동(2711067000)","14,169","5,957","          2.38","6,655","7,514","          0.89"
"대구광역시 중구 대봉1동(2711068000)","7,211","3,300","          2.19","3,361","3,850","          0.87"
"대구광역시 중구 대봉2동(2711069000)","4,688","2,122","          2.21","2,267","2,421","          0.94"
"대구광역시 동구 (2714000000)","340,213","159,551","          2.13","167,121","173,092","          0.97"
"대구광역시 동구 신암1동(2714051000)","8,926","4,589","          1.95","4,471","4,455","          1.00"
"대구광역시 동구 신암2동(2714052000)","10,149","4,434","          2.29","4,799","5,350","          0.90"
"대구광역시 동구 신암3동(2714053000)","11,460","5,006","          2.29","5,611","5,849","          0.96"
"대구광역시 동구 신암4동(2714054000)","11,108","6,215","          1.79","5,547","5,561","          1.00"
"대구광역시 동구 신암5동(2714054100)","6,169","3,129","          1.97","2,916","3,253","          0.90"
"대구광역시 동구 신천1.2동(2714055500)","12,558","6,066","          2.07","5,926","6,632","          0.89"
"대구광역시 동구 신천3동(2714057000)","14,207","6,259","          2.27","7,037","7,170","          0.98"
"대구광역시 동구 신천4동(2714058000)","8,353","5,094","          1.64","4,115","4,238","          0.97"
"대구광역시 동구 효목1동(2714059000)","13,272","6,953","          1.91","6,560","6,712","          0.98"
"대구광역시 동구 효목2동(2714060000)","12,844","6,329","          2.03","6,128","6,716","          0.91"
"대구광역시 동구 도평동(2714061500)","3,951","2,075","          1.90","2,120","1,831","          1.16"
"대구광역시 동구 불로.봉무동(2714062000)","21,002","8,756","          2.40","10,308","10,694","          0.96"
"대구광역시 동구 지저동(2714064000)","14,159","6,884","          2.06","7,066","7,093","          1.00"
"대구광역시 동구 동촌동(2714065500)","15,332","7,796","          1.97","7,696","7,636","          1.01"
"대구광역시 동구 방촌동(2714067000)","18,547","8,400","          2.21","8,931","9,616","          0.93"
"대구광역시 동구 해안동(2714068500)","14,896","7,234","          2.06","7,477","7,419","          1.01"
"대구광역시 동구 안심1동(2714072000)","41,444","19,848","          2.09","20,223","21,221","          0.95"
"대구광역시 동구 안심2동(2714073000)","11,402","5,241","          2.18","5,687","5,715","          1.00"
"대구광역시 동구 안심3동(2714074200)","21,853","8,702","          2.51","10,609","11,244","          0.94"
"대구광역시 동구 안심4동(2714074700)","28,480","11,871","          2.40","14,111","14,369","          0.98"
"대구광역시 동구 혁신동(2714075500)","18,588","8,802","          2.11","9,235","9,353","          0.99"
"대구광역시 동구 공산동(2714076000)","21,513","9,868","          2.18","10,548","10,965","          0.96"
"대구광역시 서구 (2717000000)","160,802","81,411","          1.98","80,125","80,677","          0.99"
"대구광역시 서구 내당1동(2717051000)","10,045","4,893","          2.05","4,958","5,087","          0.97"
"대구광역시 서구 내당2.3동(2717052500)","9,350","4,936","          1.89","4,495","4,855","          0.93"
"대구광역시 서구 내당4동(2717054000)","16,079","7,967","          2.02","7,705","8,374","          0.92"
"대구광역시 서구 비산1동(2717055000)","9,366","4,875","          1.92","4,758","4,608","          1.03"
"대구광역시 서구 비산2.3동(2717056500)","8,947","4,991","          1.79","4,384","4,563","          0.96"
"대구광역시 서구 비산4동(2717058000)","9,547","4,738","          2.01","4,649","4,898","          0.95"
"대구광역시 서구 비산5동(2717059000)","5,900","3,353","          1.76","2,999","2,901","          1.03"
"대구광역시 서구 비산6동(2717060000)","7,392","3,749","          1.97","3,637","3,755","          0.97"
"대구광역시 서구 비산7동(2717061000)","9,644","5,476","          1.76","5,092","4,552","          1.12"
"대구광역시 서구 평리1동(2717062000)","7,590","3,952","          1.92","3,815","3,775","          1.01"
"대구광역시 서구 평리2동(2717063000)","7,766","3,569","          2.18","3,789","3,977","          0.95"
"대구광역시 서구 평리3동(2717064000)","9,660","5,044","          1.92","4,870","4,790","          1.02"
"대구광역시 서구 평리4동(2717065000)","17,520","8,414","          2.08","8,706","8,814","          0.99"
"대구광역시 서구 평리5동(2717066000)","1,681","896","          1.88","915","766","          1.19"
"대구광역시 서구 평리6동(2717066100)","3,381","1,770","          1.91","1,830","1,551","          1.18"
"대구광역시 서구 상중이동(2717067500)","19,554","8,806","          2.22","9,776","9,778","          1.00"
"대구광역시 서구 원대동(2717069500)","7,380","3,982","          1.85","3,747","3,633","          1.03"
"대구광역시 남구 (2720000000)","141,822","76,458","          1.85","67,971","73,851","          0.92"
"대구광역시 남구 이천동(2720051500)","11,617","5,440","          2.14","5,472","6,145","          0.89"
"대구광역시 남구 봉덕1동(2720053000)","8,910","5,182","          1.72","4,293","4,617","          0.93"
"대구광역시 남구 봉덕2동(2720054000)","12,138","5,347","          2.27","5,745","6,393","          0.90"
"대구광역시 남구 봉덕3동(2720055000)","16,047","8,230","          1.95","7,639","8,408","          0.91"
"대구광역시 남구 대명1동(2720056000)","10,925","5,798","          1.88","5,320","5,605","          0.95"
"대구광역시 남구 대명2동(2720057100)","11,884","6,976","          1.70","5,618","6,266","          0.90"
"대구광역시 남구 대명3동(2720058600)","10,530","6,288","          1.67","5,198","5,332","          0.97"
"대구광역시 남구 대명4동(2720059000)","10,651","5,854","          1.82","5,160","5,491","          0.94"
"대구광역시 남구 대명5동(2720060000)","6,025","3,552","          1.70","2,845","3,180","          0.89"
"대구광역시 남구 대명6동(2720061000)","10,819","5,791","          1.87","5,168","5,651","          0.91"
"대구광역시 남구 대명9동(2720064000)","15,122","8,354","          1.81","7,364","7,758","          0.95"
"대구광역시 남구 대명10동(2720065000)","8,818","4,965","          1.78","4,176","4,642","          0.90"
"대구광역시 남구 대명11동(2720066000)","8,336","4,681","          1.78","3,973","4,363","          0.91"
"대구광역시 북구 (2723000000)","432,087","192,692","          2.24","214,817","217,270","          0.99"
"대구광역시 북구 고성동(2723051000)","4,738","2,214","          2.14","2,299","2,439","          0.94"
"대구광역시 북구 칠성동(2723052600)","23,053","10,348","          2.23","11,006","12,047","          0.91"
"대구광역시 북구 침산1동(2723055000)","3,972","2,011","          1.98","2,112","1,860","          1.14"
"대구광역시 북구 침산2동(2723056000)","18,403","6,908","          2.66","8,856","9,547","          0.93"
"대구광역시 북구 침산3동(2723057000)","19,425","7,493","          2.59","9,346","10,079","          0.93"
"대구광역시 북구 산격1동(2723061000)","8,868","5,165","          1.72","4,412","4,456","          0.99"
"대구광역시 북구 산격2동(2723062000)","10,594","4,712","          2.25","5,177","5,417","          0.96"
"대구광역시 북구 산격3동(2723063000)","9,471","6,442","          1.47","4,985","4,486","          1.11"
"대구광역시 북구 산격4동(2723063100)","8,269","4,505","          1.84","4,330","3,939","          1.10"
"대구광역시 북구 대현동(2723064500)","17,115","8,942","          1.91","8,629","8,486","          1.02"
"대구광역시 북구 복현1동(2723067100)","7,526","5,127","          1.47","4,181","3,345","          1.25"
"대구광역시 북구 복현2동(2723067200)","30,998","12,680","          2.44","15,367","15,631","          0.98"
"대구광역시 북구 검단동(2723068000)","6,298","3,177","          1.98","3,142","3,156","          1.00"
"대구광역시 북구 무태조야동(2723069500)","35,913","15,263","          2.35","18,283","17,630","          1.04"
"대구광역시 북구 관문동(2723071500)","36,010","14,716","          2.45","17,907","18,103","          0.99"
"대구광역시 북구 태전1동(2723072500)","22,122","10,788","          2.05","11,081","11,041","          1.00"
"대구광역시 북구 태전2동(2723073500)","24,099","10,876","          2.22","11,807","12,292","          0.96"
"대구광역시 북구 구암동(2723074500)","34,402","13,477","          2.55","16,864","17,538","          0.96"
"대구광역시 북구 관음동(2723075000)","16,071","7,443","          2.16","8,103","7,968","          1.02"
"대구광역시 북구 읍내동(2723077000)","26,267","11,709","          2.24","12,985","13,282","          0.98"
"대구광역시 북구 동천동(2723078000)","27,416","10,602","          2.59","13,307","14,109","          0.94"
"대구광역시 북구 노원동(2723079000)","11,165","5,679","          1.97","5,834","5,331","          1.09"
"대구광역시 북구 국우동(2723080000)","29,892","12,415","          2.41","14,804","15,088","          0.98"
"대구광역시 수성구 (2726000000)","412,302","171,782","          2.40","199,183","213,119","          0.93"
"대구광역시 수성구 범어1동(2726051000)","16,239","6,265","          2.59","7,718","8,521","          0.91"
"대구광역시 수성구 범어2동(2726052000)","15,057","6,875","          2.19","7,270","7,787","          0.93"
"대구광역시 수성구 범어3동(2726053000)","16,864","6,345","          2.66","8,093","8,771","          0.92"
"대구광역시 수성구 범어4동(2726054000)","19,898","6,733","          2.96","9,767","10,131","          0.96"
"대구광역시 수성구 만촌1동(2726055000)","22,240","8,938","          2.49","10,810","11,430","          0.95"
"대구광역시 수성구 만촌2동(2726056000)","10,715","5,045","          2.12","5,327","5,388","          0.99"
"대구광역시 수성구 만촌3동(2726056100)","19,131","6,843","          2.80","9,992","9,139","          1.09"
"대구광역시 수성구 수성1가동(2726057000)","17,441","7,099","          2.46","7,960","9,481","          0.84"
"대구광역시 수성구 수성2.3가동(2726058000)","11,491","4,617","          2.49","5,579","5,912","          0.94"
"대구광역시 수성구 수성4가동(2726059000)","14,002","5,762","          2.43","6,527","7,475","          0.87"
"대구광역시 수성구 황금1동(2726060100)","23,111","8,202","          2.82","11,046","12,065","          0.92"
"대구광역시 수성구 황금2동(2726060200)","12,082","6,162","          1.96","5,846","6,236","          0.94"
"대구광역시 수성구 중동(2726061000)","12,536","6,287","          1.99","6,242","6,294","          0.99"
"대구광역시 수성구 상동(2726062000)","15,838","7,809","          2.03","7,726","8,112","          0.95"
"대구광역시 수성구 파동(2726063000)","12,152","5,399","          2.25","5,815","6,337","          0.92"
"대구광역시 수성구 두산동(2726064000)","14,511","7,269","          2.00","7,074","7,437","          0.95"
"대구광역시 수성구 지산1동(2726065100)","21,293","10,543","          2.02","10,151","11,142","          0.91"
"대구광역시 수성구 지산2동(2726065200)","18,066","7,835","          2.31","8,503","9,563","          0.89"
"대구광역시 수성구 범물1동(2726066100)","11,061","5,948","          1.86","4,994","6,067","          0.82"
"대구광역시 수성구 범물2동(2726066200)","16,726","6,600","          2.53","8,072","8,654","          0.93"
"대구광역시 수성구 고산1동(2726067000)","31,294","11,695","          2.68","15,139","16,155","          0.94"
"대구광역시 수성구 고산2동(2726068000)","28,122","10,995","          2.56","13,915","14,207","          0.98"
"대구광역시 수성구 고산3동(2726069000)","32,432","12,516","          2.59","15,617","16,815","          0.93"
"대구광역시 달서구 (2729000000)","537,179","235,591","          2.28","264,106","273,073","          0.97"
"대구광역시 달서구 성당동(2729051500)","22,749","10,626","          2.14","11,063","11,686","          0.95"
"대구광역시 달서구 두류1.2동(2729053500)","13,935","8,188","          1.70","6,811","7,124","          0.96"
"대구광역시 달서구 두류3동(2729055000)","7,945","4,033","          1.97","3,843","4,102","          0.94"
"대구광역시 달서구 감삼동(2729055500)","27,305","11,686","          2.34","13,273","14,032","          0.95"
"대구광역시 달서구 죽전동(2729056300)","13,065","6,809","          1.92","6,434","6,631","          0.97"
"대구광역시 달서구 장기동(2729056800)","16,731","7,155","          2.34","8,203","8,528","          0.96"
"대구광역시 달서구 용산1동(2729057100)","30,134","12,433","          2.42","15,099","15,035","          1.00"
"대구광역시 달서구 용산2동(2729057200)","27,851","11,359","          2.45","13,949","13,902","          1.00"
"대구광역시 달서구 이곡1동(2729057600)","22,387","9,235","          2.42","11,216","11,171","          1.00"
"대구광역시 달서구 이곡2동(2729057700)","15,927","7,074","          2.25","8,039","7,888","          1.02"
"대구광역시 달서구 신당동(2729058500)","31,204","17,719","          1.76","15,892","15,312","          1.04"
"대구광역시 달서구 본리동(2729059000)","19,911","8,054","          2.47","9,815","10,096","          0.97"
"대구광역시 달서구 월성1동(2729060100)","39,934","13,022","          3.07","19,540","20,394","          0.96"
"대구광역시 달서구 월성2동(2729060200)","15,320","8,336","          1.84","7,289","8,031","          0.91"
"대구광역시 달서구 진천동(2729061500)","51,595","21,342","          2.42","25,218","26,377","          0.96"
"대구광역시 달서구 유천동(2729061700)","33,474","10,871","          3.08","16,467","17,007","          0.97"
"대구광역시 달서구 상인1동(2729062400)","34,956","12,932","          2.70","17,082","17,874","          0.96"
"대구광역시 달서구 상인2동(2729062500)","19,140","9,277","          2.06","9,488","9,652","          0.98"
"대구광역시 달서구 상인3동(2729062600)","10,839","6,173","          1.76","5,157","5,682","          0.91"
"대구광역시 달서구 도원동(2729062800)","34,496","13,804","          2.50","16,614","17,882","          0.93"
"대구광역시 달서구 송현1동(2729063000)","18,805","10,186","          1.85","9,334","9,471","          0.99"
"대구광역시 달서구 송현2동(2729064000)","17,561","9,259","          1.90","8,412","9,149","          0.92"
"대구광역시 달서구 본동(2729065000)","11,915","6,018","          1.98","5,868","6,047","          0.97"
"대구광역시 달성군 (2771000000)","263,206","112,975","          2.33","133,401","129,805","          1.03"
"대구광역시 달성군 화원읍(2771025000)","46,469","19,393","          2.40","23,012","23,457","          0.98"
"대구광역시 달성군 논공읍(2771025300)","4,627","2,417","          1.91","2,499","2,128","          1.17"
"대구광역시 달성군 논공읍공단출장소(2771025400)","12,800","6,351","          2.02","6,789","6,011","          1.13"
"대구광역시 달성군 다사읍(2771025600)","51,502","20,057","          2.57","25,400","26,102","          0.97"
"대구광역시 달성군 다사읍서재출장소(2771025700)","39,948","15,356","          2.60","20,242","19,706","          1.03"
"대구광역시 달성군 유가읍(2771025900)","29,371","11,316","          2.60","14,903","14,468","          1.03"
"대구광역시 달성군 옥포읍(2771026200)","24,698","11,107","          2.22","12,421","12,277","          1.01"
"대구광역시 달성군 현풍읍(2771026500)","23,026","12,020","          1.92","12,097","10,929","          1.11"
"대구광역시 달성군 가창면(2771031000)","7,671","3,760","          2.04","3,817","3,854","          0.99"
"대구광역시 달성군 하빈면(2771033000)","3,478","2,017","          1.72","1,894","1,584","          1.20"
"대구광역시 달성군 구지면(2771038000)","19,616","9,181","          2.14","10,327","9,289","          1.11"
"인천광역시  (2800000000)","2,962,388","1,320,238","          2.24","1,483,026","1,479,362","          1.00"
"인천광역시 중구 (2811000000)","151,310","75,294","          2.01","78,591","72,719","          1.08"
"인천광역시 중구 연안동(2811052000)","5,830","3,250","          1.79","3,167","2,663","          1.19"
"인천광역시 중구 신포동(2811053000)","4,801","2,563","          1.87","2,421","2,380","          1.02"
"인천광역시 중구 신흥동(2811054000)","13,383","6,382","          2.10","6,800","6,583","          1.03"
"인천광역시 중구 도원동(2811056000)","3,943","2,154","          1.83","2,034","1,909","          1.07"
"인천광역시 중구 율목동(2811057000)","3,092","1,804","          1.71","1,587","1,505","          1.05"
"인천광역시 중구 동인천동(2811058500)","5,664","3,360","          1.69","3,020","2,644","          1.14"
