역번호,역명,역위도,역경도,역사도로명주소,행정구역
1008,이촌,37.522476,126.973816,서울시 용산구 이촌로 71길 42,용산구
1009,서빙고,37.51961,126.988358,서울시 용산구 서빙고로 238(서빙고동 241-11),용산구
1010,한남,37.529361,127.008984,서울시 용산구 독서당로6길 12-13(한남동),용산구
1011,옥수,37.540514,127.018698,서울시 성동구 동호로 지하21(옥수동),성동구
1012,응봉,37.550433,127.034824,서울시 성동구 고산자로 123(응봉동),성동구
1813,구일,37.496273,126.869599,서울시 구로구 구일로 133,구로구
1801,개봉,37.494698,126.858504,서울시 구로구 경인로 40길 47,구로구
1802,오류동,37.4944,126.844551,서울시 구로구 경인로 20길 13,구로구
1821,온수,37.492267,126.823399,서울시 구로구 부일로 872,구로구
1015,회기,37.589802,127.057936,서울시 동대문구 회기로196(휘경동 317-101),동대문구
1014,청량리,37.580543,127.046516,서울시 동대문구 왕산로 214,동대문구
1201,중랑,37.594948,127.076152,서울특별시 중랑구 중화동 321-37,중랑구
1202,상봉,37.595254,127.085853,서울시 중랑구 망우로 297(상봉1동 100-9번지),중랑구
1203,망우,37.599288,127.092318,서울시 중랑구 망우로 55길 11-10,중랑구
1311,신내,37.612855,127.103277,서울시 중랑구 망우동 320,중랑구
1014,청량리,37.580543,127.046516,서울시 동대문구 왕산로 214,동대문구
1013,왕십리,37.561128,127.035505,서울시 성동구 왕십리 광장로 17(행당동),성동구
1847,서울숲,37.543647,127.044686,서울시 성동구 왕십리로 지하 77,성동구
1848,압구정로데오,37.527385,127.040555,서울시 강남구 압구정동 495(강남구 압구정로 지하 402),강남구
1849,강남구청,37.517172,127.041275,서울시 강남구 학동로 지하 364,강남구
1850,선정릉,37.510275,127.043817,서울시 강남구 선릉로 지하 580(삼성동),강남구
1023,선릉,37.504479,127.048941,서울시 강남구 테헤란로 지하 340,강남구
1024,한티,37.496208,127.052883,서울시 강남구 선릉로 지하 228,강남구
1025,도곡,37.490914,127.055393,서울시 강남구 남부순환로 지하 2814,강남구
1026,구룡,37.486985,127.059496,서울시 강남구 개포동 175번지,강남구
1027,개포동,37.489112,127.066027,서울시 강남구 개포동 지하 420(개포동),강남구
1028,대모산입구,37.491347,127.072702,서울시 강남구 일원동 611번지,강남구
1030,수서,37.487633,127.101118,서울시 강남구 광평로 지하 270(수서동),강남구
