역명,승차총승객수,하차총승객수
신용산,118026,123360
신원,2257,1917
신이문,58777,53356
신정,94215,77358
신정네거리,71538,72303
신중동,1,0
신창,20185,19269
신촌,278604,286656
신포,13561,13656
신풍,80235,75435
신흥,29115,31470
쌍문,199305,184342
쌍용,19913,18970
아산,31700,27404
아신,4957,4964
아차산,109427,104972
아현,73786,70101
안국,170931,177252
안산,84978,78834
안암,94862,95881
안양,181948,179824
암사,127911,112575
압구정,219693,237225
압구정로데오,133107,152976
애오개,44757,44022
야당,57888,57480
야목,2944,2242
야탑,179550,187792
약수,114032,110951
양수,16412,16000
양원,21768,21027
양재,252120,274429
양정,5447,4691
양주,61562,58761
양천구청,47493,48607
양천향교,64858,66000
양평,71986,70972
어린이대공원,123179,127015
어천,8209,7880
언주,71424,73328
여의나루,118060,125545
여의도,362963,372873
여주,19936,20307
역곡,200735,198198
역삼,322590,363800
역촌,25693,29911
연수,33755,33110
연신내,251702,236760
염창,121764,115950
영등포,290581,301415
영등포구청,170932,176267
영등포시장,72425,75306
영종,26339,26395
영통,62808,63256
오금,67661,63953
오류동,85493,77688
오리,79350,65120
오목교,148939,158015
오목천,29325,25581
오빈,2423,2387
오산,76270,75372
오산대,29227,26987
오이도,64818,63775
옥수,64909,65936
온수,121392,113729
온양온천,33138,33632
올림픽공원,110066,108929
왕십리,257672,250499
외대앞,67890,67057
용답,21429,21476
용두,16135,16086
용마산,41681,40960
용문,19862,19968
용산,273035,278510
우장산,100155,97911
운길산,8120,7983
운서,56439,57842
운정,50615,46412
원당,79316,74287
원덕,3137,2965
원인재,32294,33133
원흥,78647,74551
월계,55111,51397
월곡,87039,83918
월곶,20893,18902
월드컵경기장,38881,41165
월롱,20547,19245
을지로3가,226823,227010
을지로4가,129628,131638
을지로입구,285367,289861
응봉,14244,12065
응암,120055,118158
의왕,62985,62029
의정부,136330,142547
이대,115710,124428
이매,49474,45557
이수,109782,103471
이천,20147,20979
이촌,87215,85969
이태원,90732,101891
인덕원,172486,176498
인천,42179,41393
인천공항1터미널,56742,55573
인천공항2터미널,26696,23583
인천논현,39459,41876
인하대,51075,48709
일산,67130,64869
일원,70632,67968
임진강,338,230
잠실,620124,632024
잠실나루,99522,97776
잠실새내,152582,154487
잠원,35450,33992
장승배기,63228,61475
장암,17491,8092
장지,117297,109590
장한평,124228,122389
정릉,35003,30921
정발산,55174,57172
정부과천청사,73504,73371
정왕,70017,71573
정자,122335,130010
제기동,119081,121393
제물포,77653,73936
종각,246204,240007
종로3가,354736,350634
종로5가,157650,158723
종합운동장,148238,163920
주안,139924,126534
주엽,65564,65331
죽전,103331,115169
중계,100477,90773
중곡,74683,69063
중동,66277,61542
중랑,40287,38435
중앙,132740,139420
중앙보훈병원,72953,65165
중화,73112,71313
증미,47663,45555
증산,68886,68665
지축,37811,36118
지평,517,565
지행,49625,49622
직산,6680,6601
진위,12941,11366
창동,175987,186250
창신,24621,21140
천마산,12442,11614
천안,55583,53524
천왕,78098,74275
천호,230664,244887
철산,148433,150950
청구,51761,50167
청담,131684,145474
청라국제도시,48560,45830
청량리,259199,262400
청명,30991,30181
청평,13942,13576
초월,23015,21565
초지,37629,38429
총신대입구,131610,143677
춘천,15362,13287
충무로,195525,204931
충정로,96786,101615
탄현,56177,52286
탕정,7767,6916
태릉입구,105452,106568
태평,94620,90037
퇴계원,24974,22558
파주,10392,7610
판교,35004,34543
팔당,8539,8828
평내호평,46710,45105
평촌,118550,116231
평택,101345,102636
평택지제,30623,29483
풍산,41090,38128
하계,123001,114878
하남검단산,44416,41969
하남시청,51220,49316
하남풍산,28760,28336
학동,152063,161464
학여울,14111,14096
한강진,67569,80312
한남,28458,26966
한대앞,72474,72919
한성대입구,108216,104699
한성백제,19464,17151
한양대,85715,95009
한티,104760,110086
합정,321681,340728
행당,55832,49499
행신,59371,58452
혜화,255319,256082
호구포,28660,29152
홍대입구,541944,581567
홍제,124713,118311
화계,24835,22920
화곡,196250,181581
화랑대,88122,69004
화서,60652,57898
화전,20448,19460
화정,118272,120388
회기,200685,193344
회룡,90783,89716
회현,170455,178333
효창공원앞,73951,72400
흑석,68645,69419
