영업상태코드,개방자치단체코드,지번주소,좌표정보(X),좌표정보(Y),사업장명,행정구역
1,3200000,서울특별시 관악구 봉천동 862-1 12층,195703.0437,442094.0858,롯데시네마 서울대입구제5관,관악구
1,3190000,서울특별시 동작구 신대방동 686-48 동작 협성휴포레 시그니처,191555.3544,442679.2088,롯데시네마 신대방 2관,동작구
1,3190000,서울특별시 동작구 신대방동 686-48 동작 협성휴포레 시그니처,191555.3544,442679.2088,롯데시네마 신대방 6관,동작구
1,3190000,서울특별시 동작구 신대방동 686-48 동작 협성휴포레 시그니처,191555.3544,442679.2088,롯데시네마 신대방 4관,동작구
1,3200000,서울특별시 관악구 봉천동 862-1 12층,195703.0437,442094.0858,롯데시네마 서울대입구제2관,관악구
1,3190000,서울특별시 동작구 신대방동 686-48 동작 협성휴포레 시그니처,191555.3544,442679.2088,롯데시네마 신대방 5관,동작구
1,3010000,서울특별시 중구 충무로2가 65-9,198636.2504,451005.7216,CGV 명동역 씨네라이브러리 4관,중구
1,3010000,서울특별시 중구 충무로2가 65-9,198636.2504,451005.7216,CGV명동역 씨네라이브러리 3관,중구
1,3010000,서울특별시 중구 충무로2가 65-9,198636.2504,451005.7216,CGV 명동역 씨네라이브러리 5관,중구
1,3200000,서울특별시 관악구 봉천동 862-1 12층,195703.0437,442094.0858,롯데시네마 서울대입구1관,관악구
1,3180000,서울특별시 영등포구 영등포동 618-496 외 12필지,191741.3458,445970.3076,롯데시네마 영등포 5관,영등포구
1,3180000,서울특별시 영등포구 영등포동 618-496 외 12필지,191741.3458,445970.3076,롯데시네마 영등포 6관,영등포구
1,3180000,서울특별시 영등포구 영등포동 618-496 외 12필지,191741.3458,445970.3076,롯데시네마 영등포 7관,영등포구
1,3180000,서울특별시 영등포구 영등포동 618-496 외 12필지,191741.3458,445970.3076,롯데시네마 영등포 1관,영등포구
1,3180000,서울특별시 영등포구 영등포동 618-496 외 12필지,191741.3458,445970.3076,롯데시네마 영등포 4관,영등포구
1,3180000,서울특별시 영등포구 영등포동 618-496 외 12필지,191741.3458,445970.3076,롯데시네마 영등포 2관,영등포구
1,3180000,서울특별시 영등포구 영등포동 618-496 외 12필지,191741.3458,445970.3076,롯데시네마 영등포 3관,영등포구
1,3180000,서울특별시 영등포구 여의도동 23,193326.931,446973.9146,CGV여의도 5관 [CGV아트하우스],영등포구
1,3180000,서울특별시 영등포구 여의도동 23,193326.931,446973.9146,CGV여의도 6관,영등포구
1,3180000,서울특별시 영등포구 여의도동 23,193326.931,446973.9146,CGV여의도 4관[COMFORT SEAT],영등포구
1,3180000,서울특별시 영등포구 여의도동 23,193326.931,446973.9146,CGV여의도 3관(VeatBox관),영등포구
1,3180000,서울특별시 영등포구 여의도동 23,193326.931,446973.9146,CGV여의도 2관,영등포구
1,3180000,서울특별시 영등포구 여의도동 23,193326.931,446973.9146,CGV여의도 1관,영등포구
1,3180000,서울특별시 영등포구 여의도동 23 IFC,193326.931,446973.9146,CGV여의도 7관(TEMPUR CINEMA관),영등포구
1,3180000,서울특별시 영등포구 여의도동 23,193326.931,446973.9146,CGV여의도 9관,영등포구
1,3180000,서울특별시 영등포구 여의도동 23,193326.931,446973.9146,CGV여의도 8관[COMFORT SEAT],영등포구
1,3060000,서울특별시 중랑구 묵동 234-1 ,206641.2692,456981.0858,롯데시네마 중랑관 3관,중랑구
1,3060000,서울특별시 중랑구 묵동 234-1 ,206641.2692,456981.0858,롯데시네마 중랑관 4관,중랑구
1,3000000,서울특별시 마포구 동교동 166-14 동교동 스타피카소 ,193282.1308,450549.2802,독립영화전용관 인디스페이스,마포구
1,3000000,서울특별시 종로구 낙원동 284-6번지 ,198852.9597,452253.9426,허리우드클래식,종로구
1,3000000,서울특별시 종로구 신문로1가 226 흥국생명빌딩,197482.2053,451938.3079,씨네큐브광화문 2관,종로구
1,3000000,서울특별시 종로구 신문로1가 226 흥국생명빌딩,197482.2053,451938.3079,씨네큐브광화문 1관,종로구
1,3000000,서울특별시 종로구 낙원동 284-6번지 ,198852.9597,452253.9426,낭만극장,종로구
1,3000000,서울특별시 종로구 신문로2가 1-181번지 ,197193.7713,452199.4288,에무 시네마 1관,종로구
1,3000000,서울특별시 종로구 신문로2가 1-181번지 복합문화공간 에무 3층 ,197193.7713,452199.4288,에무 시네마 2관,종로구
1,3000000,서울특별시 종로구 명륜2가 41-9 지하3층 ,199916.8335,453462.4209,CGV 대학로 1관,종로구
1,3000000,서울특별시 종로구 명륜2가 41-9 지하3층 ,199916.8335,453462.4209,CGV 대학로 2관,종로구
1,3000000,서울특별시 종로구 명륜2가 41-9 지하1층 ,199916.8335,453462.4209,CGV 대학로 5관,종로구
1,3000000,서울특별시 종로구 명륜2가 41-9 지하2층 ,199916.8335,453462.4209,CGV 대학로 3관,종로구
1,3000000,서울특별시 종로구 명륜2가 41-9 지하2층 ,199916.8335,453462.4209,CGV 대학로 4관,종로구
1,3010000,서울특별시 중구 초동 41번지 ,,,스카라극장,중구
1,3000000,서울특별시 종로구 명륜2가 41-9 3층 ,199916.8335,453462.4209,CGV 대학로 7관,종로구
1,3000000,서울특별시 종로구 명륜2가 41-9 4층 ,199916.8335,453462.4209,CGV 대학로 8관,종로구
1,3000000,서울특별시 종로구 돈의동 137 지하2층 ,199155.5427,452083.1231,CGV피카디리1958 1관,종로구
1,3000000,서울특별시 종로구 돈의동 137 지하2층 ,199155.5427,452083.1231,CGV피카디리1958 2관,종로구
1,3000000,서울특별시 종로구 명륜2가 41-9 대학로CGV 2층,199916.8335,453462.4209,CGV 대학로 6관,종로구
1,3000000,서울특별시 종로구 돈의동 137 지하2층 ,199155.5427,452083.1231,CGV피카디리1958 3관,종로구
1,3000000,서울특별시 종로구 돈의동 137 지하4층 ,199155.5427,452083.1231,CGV피카디리1958 4관,종로구
