역번호,역명,역위도,역경도,역사도로명주소,행정구역,승차총승객수,하차총승객수
0320,구파발,,,서울특별시 은평구 진관2로 지하15-25 (진관동),은평구,146482,143709
0321,연신내,,,서울특별시 은평구 통일로 지하849(갈현동),은평구,251702,236760
0322,불광,,,서울특별시 은평구 통일로 지하723-1(대조동),은평구,145307,154257
0323,녹번,,,서울특별시 은평구 통일로 지하602-1(녹번동),은평구,108306,96862
0324,홍제,,,서울특별시 서대문구 통일로 지하440-1(홍제동),서대문구,124713,118311
0325,무악재,,,서울특별시 서대문구 통일로 지하361(홍제동),서대문구,26987,27428
0326,독립문,,,서울특별시 서대문구 통일로 지하247(현저동),서대문구,53498,55954
0328,안국,,,서울특별시 종로구 율곡로 지하62(안국동),종로구,170931,177252
0331,충무로,,,서울특별시 중구 퇴계로 지하214(필동2가),중구,195525,204931
0332,동대입구,,,서울특별시 중구 동호로 지하256(장충동2가),중구,77841,86720
0333,약수,,,서울특별시 중구 다산로 지하122(신당동),중구,114032,110951
0334,금호,,,서울특별시 성동구 동호로 지하104(금호동4가),성동구,54902,50462
0335,옥수,,,서울특별시 성동구 동호로 21(옥수동),성동구,64909,65936
0336,압구정,,,서울특별시 강남구 압구정로 지하172(신사동),강남구,219693,237225
0338,잠원,,,서울특별시 서초구 잠원로4길 지하46(잠원동),서초구,35450,33992
0339,고속터미널,,,서울특별시 서초구 신반포로 지하188(반포동),서초구,567646,564053
0343,매봉,,,서울특별시 강남구 남부순환로 지하2744(도곡동),강남구,81165,77717
0344,도곡,,,서울특별시 강남구 남부순환로 지하2814(도곡동),강남구,84959,84069
0345,대치,,,서울특별시 강남구 남부순환로 지하2952(대치동),강남구,81797,79598
0346,학여울,,,서울특별시 강남구 남부순환로 지하3104(대치동),강남구,14111,14096
0347,대청,,,서울특별시 강남구 일원로 지하2(일원동),강남구,69079,64282
0348,일원,,,서울특별시 강남구 일원로 지하121(일원동),강남구,70632,67968
0349,수서,,,서울특별시 강남구 광평로 지하270(수서동),강남구,221769,227123
0350,가락시장,,,서울특별시 송파구 송파대로 지하257(가락동),송파구,111685,116869
0351,경찰병원,,,서울특별시 송파구 중대로 지하149(가락동),송파구,48345,48022
0352,오금,,,서울특별시 송파구 오금로 지하321(오금동),송파구,67661,63953
0409,당고개,,,서울특별시 노원구 상계로 305(상계동),노원구,64851,58091
0410,상계,,,서울특별시 노원구 상계로 182(상계동),노원구,131864,122927
0411,노원,,,서울특별시 노원구 상계로 69-1(상계동),노원구,267291,292862
0412,창동,,,서울특별시 도봉구 마들로11길 77(창동),도봉구,175987,186250
0413,쌍문,,,서울특별시 도봉구 도봉로 지하 486-1(창동),도봉구,199305,184342
0416,미아사거리,,,서울특별시 강북구 도봉로 지하50(미아동),강북구,186963,182661
0417,길음,,,서울특별시 성북구 동소문로 지하248(길음동),성북구,151845,152538
0420,혜화,,,서울특별시 종로구 대학로 지하120(명륜4가),종로구,255319,256082
0424,명동,,,서울특별시 중구 퇴계로 지하126(충무로2가),중구,166887,174733
0428,삼각지,,,서울특별시 용산구 한강대로 지하180(한강로1가),용산구,91524,90254
0429,신용산,,,서울특별시 용산구 한강대로 지하112(한강로2가),용산구,118026,123360
0434,남태령,,,서울특별시 서초구 과천대로 지하816(방배동),서초구,9523,7372
0510,방화,,,서울특별시 강서구 금낭화로 지하132(방화동),강서구,45746,43623
0511,개화산,,,서울특별시 강서구 양천로 22(방화동),강서구,37958,36224
0513,송정,,,서울특별시 강서구 공항대로 지하33(공항동),강서구,45226,41783
0514,마곡,,,서울특별시 강서구 공항대로 지하163(마곡동),강서구,68939,70477
0515,발산,,,서울특별시 강서구 공항대로 지하267(마곡동),강서구,139907,146852
0516,우장산,,,서울특별시 강서구 강서로 지하262(화곡동),강서구,100155,97911
0517,화곡,,,서울특별시 강서구 화곡로 지하168(화곡동),강서구,196250,181581
0518,까치산,,,서울특별시 강서구 강서로 지하54(화곡동),강서구,197522,185852
0520,목동,,,서울특별시 양천구 오목로 지하245(목동),양천구,116496,122397
0522,양평,,,서울특별시 영등포구 양산로 지하21(양평동2가),영등포구,71986,70972
0524,영등포시장,,,서울특별시 영등포구 양산로 지하200(영등포동5가),영등포구,72425,75306
0525,신길,,,서울특별시 영등포구 경인로114가길 지하9(영등포동1가),영등포구,91379,84277
0526,여의도,,,서울특별시 영등포구 여의나루로 지하40(여의도동),영등포구,362963,372873
0527,여의나루,,,서울특별시 영등포구 여의동로 지하343(여의도동),영등포구,118060,125545
0528,마포,,,서울특별시 마포구 마포대로 지하33(도화동),마포구,92863,94808
0530,애오개,,,서울특별시 마포구 마포대로 지하210(아현동),마포구,44757,44022
0532,서대문,,,서울특별시 종로구 통일로 지하126(평동),종로구,129862,131056
0537,청구,,,서울특별시 중구 청구로 지하77(신당동),중구,51761,50167
0538,신금호,,,서울특별시 성동구 금호로 지하154(금호동2가),성동구,43979,45658
0539,행당,,,서울특별시 성동구 행당로 지하89(행당동),성동구,55832,49499
0541,마장,,,서울특별시 성동구 마장로 지하296(마장동),성동구,39841,37194
0542,답십리,,,서울특별시 성동구 천호대로 지하300(용답동),성동구,108864,98333
0543,장한평,,,서울특별시 동대문구 천호대로 지하405(장안동),동대문구,124228,122389
0548,강동,,,서울특별시 강동구 천호대로 지하1097(천호동),강동구,124421,119409
0549,길동,,,서울특별시 강동구 양재대로 지하1480(길동),강동구,54594,56210
0551,명일,,,서울특별시 강동구 양재대로 지하1632(명일동),강동구,60438,61522
0552,고덕,,,서울특별시 강동구 고덕로 지하253(고덕동),강동구,66157,65182
0553,상일동,,,서울특별시 강동구 고덕로 지하359(상일동),강동구,100099,92690
P549,둔촌동,,,서울특별시 강동구 양재대로 지하1369(둔촌동),강동구,56846,56234
